time,release_time,ready_time,deadline,location,assigned_courier,pickup_time
285,277.0708235621343,287.0708235621343,317.0708235621343,11,15.0,313.0
285,278.7015647946944,288.7015647946944,318.7015647946944,11,,
285,281.8387650904196,291.8387650904196,321.8387650904196,14,,
285,282.955644903901,292.955644903901,322.955644903901,7,,
285,284.7022143032392,294.7022143032392,324.7022143032392,0,,
290,250.08322388695194,260.08322388695194,290.08322388695194,2,9.0,288.0
290,250.40488260865436,260.40488260865436,290.40488260865436,14,13.0,288.0
290,252.59854522820237,262.5985452282024,292.5985452282024,8,31.0,288.0
290,253.6765189253714,263.6765189253714,293.6765189253714,12,8.0,293.0
290,254.71770193215437,264.71770193215434,294.71770193215434,9,14.0,293.0
290,254.9057328816213,264.9057328816213,294.9057328816213,13,16.0,293.0
290,259.64298101583296,269.64298101583296,299.64298101583296,12,30.0,298.0
290,261.48863926263664,271.48863926263664,301.48863926263664,2,,
290,262.7544989609733,272.7544989609733,302.7544989609733,15,,
290,264.0170733835315,274.0170733835315,304.0170733835315,3,10.0,303.0
290,264.5889744543195,274.5889744543195,304.5889744543195,0,11.0,303.0
290,264.6225901099705,274.6225901099705,304.6225901099705,14,,
290,265.2430000232838,275.2430000232838,305.2430000232838,3,,
290,265.94140061576763,275.94140061576763,305.94140061576763,5,,
290,266.2012743034371,276.2012743034371,306.2012743034371,13,,
290,267.5442415893972,277.5442415893972,307.5442415893972,8,,
290,271.37376056947784,281.37376056947784,311.37376056947784,5,12.0,308.0
290,272.2491293803067,282.2491293803067,312.2491293803067,15,,
290,277.0708235621343,287.0708235621343,317.0708235621343,11,15.0,313.0
290,278.7015647946944,288.7015647946944,318.7015647946944,11,13.0,318.0
290,281.8387650904196,291.8387650904196,321.8387650904196,14,31.0,318.0
290,282.955644903901,292.955644903901,322.955644903901,7,,
290,284.7022143032392,294.7022143032392,324.7022143032392,0,,
290,285.15839891948315,295.15839891948315,325.15839891948315,8,,
295,259.64298101583296,269.64298101583296,299.64298101583296,12,30.0,298.0
295,261.48863926263664,271.48863926263664,301.48863926263664,2,,
295,262.7544989609733,272.7544989609733,302.7544989609733,15,,
295,264.0170733835315,274.0170733835315,304.0170733835315,3,10.0,303.0
295,264.5889744543195,274.5889744543195,304.5889744543195,0,11.0,303.0
295,264.6225901099705,274.6225901099705,304.6225901099705,14,,
295,265.2430000232838,275.2430000232838,305.2430000232838,3,,
295,265.94140061576763,275.94140061576763,305.94140061576763,5,,
295,266.2012743034371,276.2012743034371,306.2012743034371,13,,
295,267.5442415893972,277.5442415893972,307.5442415893972,8,,
295,271.37376056947784,281.37376056947784,311.37376056947784,5,12.0,308.0
295,272.2491293803067,282.2491293803067,312.2491293803067,15,,
295,277.0708235621343,287.0708235621343,317.0708235621343,11,15.0,313.0
295,278.7015647946944,288.7015647946944,318.7015647946944,11,13.0,318.0
295,281.8387650904196,291.8387650904196,321.8387650904196,14,31.0,318.0
295,282.955644903901,292.955644903901,322.955644903901,7,,
295,284.7022143032392,294.7022143032392,324.7022143032392,0,8.0,323.0
295,285.15839891948315,295.15839891948315,325.15839891948315,8,14.0,323.0
295,292.7551701541625,302.7551701541625,332.7551701541625,11,,
295,293.5102897095316,303.5102897095316,333.5102897095316,14,,
300,261.48863926263664,271.48863926263664,301.48863926263664,2,,
300,262.7544989609733,272.7544989609733,302.7544989609733,15,,
300,264.0170733835315,274.0170733835315,304.0170733835315,3,10.0,303.0
300,264.5889744543195,274.5889744543195,304.5889744543195,0,11.0,303.0
300,264.6225901099705,274.6225901099705,304.6225901099705,14,,
300,265.2430000232838,275.2430000232838,305.2430000232838,3,,
300,265.94140061576763,275.94140061576763,305.94140061576763,5,,
300,266.2012743034371,276.2012743034371,306.2012743034371,13,,
300,267.5442415893972,277.5442415893972,307.5442415893972,8,,
300,271.37376056947784,281.37376056947784,311.37376056947784,5,12.0,308.0
300,272.2491293803067,282.2491293803067,312.2491293803067,15,,
300,277.0708235621343,287.0708235621343,317.0708235621343,11,15.0,313.0
300,278.7015647946944,288.7015647946944,318.7015647946944,11,13.0,318.0
300,281.8387650904196,291.8387650904196,321.8387650904196,14,31.0,318.0
300,282.955644903901,292.955644903901,322.955644903901,7,,
300,284.7022143032392,294.7022143032392,324.7022143032392,0,8.0,323.0
300,285.15839891948315,295.15839891948315,325.15839891948315,8,14.0,323.0
300,292.7551701541625,302.7551701541625,332.7551701541625,11,30.0,328.0
300,293.5102897095316,303.5102897095316,333.5102897095316,14,,
300,295.1277824849346,305.1277824849346,335.1277824849346,3,,
305,265.2430000232838,275.2430000232838,305.2430000232838,3,,
305,265.94140061576763,275.94140061576763,305.94140061576763,5,,
305,266.2012743034371,276.2012743034371,306.2012743034371,13,,
305,267.5442415893972,277.5442415893972,307.5442415893972,8,,
305,271.37376056947784,281.37376056947784,311.37376056947784,5,12.0,308.0
305,272.2491293803067,282.2491293803067,312.2491293803067,15,,
305,277.0708235621343,287.0708235621343,317.0708235621343,11,15.0,313.0
305,278.7015647946944,288.7015647946944,318.7015647946944,11,13.0,318.0
305,281.8387650904196,291.8387650904196,321.8387650904196,14,31.0,318.0
305,282.955644903901,292.955644903901,322.955644903901,7,,
305,284.7022143032392,294.7022143032392,324.7022143032392,0,8.0,323.0
305,285.15839891948315,295.15839891948315,325.15839891948315,8,14.0,323.0
305,292.7551701541625,302.7551701541625,332.7551701541625,11,30.0,328.0
305,293.5102897095316,303.5102897095316,333.5102897095316,14,11.0,333.0
305,295.1277824849346,305.1277824849346,335.1277824849346,3,,
305,300.53008773618564,310.53008773618564,340.53008773618564,10,,
305,302.17636772995365,312.17636772995365,342.17636772995365,15,,
310,271.37376056947784,281.37376056947784,311.37376056947784,5,12.0,308.0
310,272.2491293803067,282.2491293803067,312.2491293803067,15,,
310,277.0708235621343,287.0708235621343,317.0708235621343,11,15.0,313.0
310,278.7015647946944,288.7015647946944,318.7015647946944,11,13.0,318.0
310,281.8387650904196,291.8387650904196,321.8387650904196,14,31.0,318.0
310,282.955644903901,292.955644903901,322.955644903901,7,,
310,284.7022143032392,294.7022143032392,324.7022143032392,0,8.0,323.0
310,285.15839891948315,295.15839891948315,325.15839891948315,8,14.0,323.0
310,292.7551701541625,302.7551701541625,332.7551701541625,11,30.0,328.0
310,293.5102897095316,303.5102897095316,333.5102897095316,14,11.0,333.0
310,295.1277824849346,305.1277824849346,335.1277824849346,3,,
310,300.53008773618564,310.53008773618564,340.53008773618564,10,12.0,338.0
310,302.17636772995365,312.17636772995365,342.17636772995365,15,,
310,306.72910486703125,316.72910486703125,346.72910486703125,4,,
315,277.0708235621343,287.0708235621343,317.0708235621343,11,15.0,313.0
315,278.7015647946944,288.7015647946944,318.7015647946944,11,13.0,318.0
315,281.8387650904196,291.8387650904196,321.8387650904196,14,31.0,318.0
315,282.955644903901,292.955644903901,322.955644903901,7,,
315,284.7022143032392,294.7022143032392,324.7022143032392,0,8.0,323.0
315,285.15839891948315,295.15839891948315,325.15839891948315,8,14.0,323.0
315,292.7551701541625,302.7551701541625,332.7551701541625,11,30.0,328.0
315,293.5102897095316,303.5102897095316,333.5102897095316,14,11.0,333.0
315,295.1277824849346,305.1277824849346,335.1277824849346,3,,
315,300.53008773618564,310.53008773618564,340.53008773618564,10,12.0,338.0
315,302.17636772995365,312.17636772995365,342.17636772995365,15,,
315,306.72910486703125,316.72910486703125,346.72910486703125,4,,
315,312.23894133570974,322.23894133570974,352.23894133570974,5,,
320,281.8387650904196,291.8387650904196,321.8387650904196,14,31.0,318.0
320,282.955644903901,292.955644903901,322.955644903901,7,,
320,284.7022143032392,294.7022143032392,324.7022143032392,0,8.0,323.0
320,285.15839891948315,295.15839891948315,325.15839891948315,8,14.0,323.0
